config,domain,cost,lengths,location,concurrency,movement,switch,walking,unique_distances,goal
1,1a,duration,numeric,relative,none,across,none,no,no,ahead
2,1a,duration,numeric,relative,none,across,none,no,no,ahead+serviced
3,1b,duration,numeric,relative,none,across,none,no,yes,ahead
4,1c,duration,numeric,relative,none,across,none,no,no,ahead_all
5,1d,duration,numeric,relative,none,across,none,no,no,ahead_all+serviced_all
6,2,duration,numeric,relative,numeric_fluent,across,none,no,no,ahead
7,3a,duration,numeric,relative,driver_objects,across,none,no,no,ahead
8,3b,duration,numeric,relative,driver_objects,across,none,no,yes,ahead
9,3c,duration,numeric,relative,driver_objects,across,none,no,no,ahead
10,3d,duration,numeric,relative,driver_objects,across,none,no,yes,ahead
11,4a,duration,numeric,relative,driver_objects,across,none,no,no,ahead
12,4b,duration,numeric,relative,driver_objects,across,none,no,yes,ahead
13,4c,duration,numeric,relative,numeric_fluent,across,objects,no,no,ahead
14,4c,duration,numeric,relative,numeric_fluent,across,objects,no,yes,ahead


10,3b,duration,numeric,relative,driver_objects,across,none,yes,no,ahead
11,3c,duration,numeric,relative,driver_objects,across,objects,yes,no,ahead
12,3d,duration,numeric,relative,driver_objects,across,actions,yes,no,ahead
13,3e,duration,numeric,exact,driver_objects,end_of_track,none,no,no,ahead



